Link,Concelho,Freguesia,Price,Bedrooms,Area (m²),Condition,Bathrooms
https://www.imovirtual.com/en/anuncio/apartamento-t3-venda-lisboa-ID15x0v.html#656cef6a19,Lisboa,Belém,1180000,T3,148.0,New,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t3-duplex-com-varandas-aaa-23-ID16PSj.html#656cef6a19,Lisboa,Novas,1350000,T3,173.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-estacionamento-miraflores-park-ID15RYK.html#656cef6a19,Oeiras,Quebrada-Dafundo,610000,T3,165.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-estacionamento-the-brick-ID16U9C.html#656cef6a19,Lisboa,Beato,275000,T1,56.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t0-duplex-com-jardim-prateato-ID15vUY.html#656cef6a19,Lisboa,Marvila,555000,T0,90.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-varanda-the-coral-ID16Aru.html#656cef6a19,Cascais,Estoril,1430000,T3,183.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-terraco-two-hundred-campo-grande-ID15x0Q.html#656cef6a19,Lisboa,Alvalade,487500,T1,70.0,New,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-varanda-janelas-do-parque-103-ID15x1D.html#656cef6a19,Lisboa,Arroios,765000,T2,99.0,New,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-varanda-principe-real-28-ID16CNG.html#656cef6a19,Lisboa,António,515000,T2,62.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-varanda-escolas-gerais-61-alfama-lisboa-ID178NL.html#656cef6a19,Lisboa,Maior,780000,T2,100.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/t4-com-varanda-conde-de-lima-ID16i9S.html#efcb3c7d7e,Lisboa,António,2100000,T4,240.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-jardim-the-heights-cascais-ID15vZe.html#efcb3c7d7e,Cascais,Estoril,1550000,T2,163.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-duplex-venda-lisboa-ID15JTr.html#efcb3c7d7e,Lisboa,Alvalade,735000,T2,105.0,New,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-venda-lisboa-ID15JTF.html#efcb3c7d7e,Lisboa,Alvalade,985000,T3,146.0,New,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-duplex-sao-nicolau-chiado-ID15x2u.html#efcb3c7d7e,Lisboa,Maior,1170000,T2,147.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-terraco-the-brick-ID16Uai.html#efcb3c7d7e,Lisboa,Beato,680000,T3,131.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-duplex-com-terraco-principe-real-28-ID16CNz.html#efcb3c7d7e,Lisboa,António,900000,T3,132.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/t3-com-estacionamento-conde-de-lima-ID15x2Q.html#efcb3c7d7e,Lisboa,António,950000,T3,144.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/t1-duplex-prateato-ID15xd4.html#efcb3c7d7e,Lisboa,Marvila,445000,T1,83.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-terraco-citiflat-avenidas-novas-lisboa-ID16Cwv.html#efcb3c7d7e,Lisboa,Novas,570000,T1,51.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/t3-duplex-com-terraco-prateato-ID15xdr.html#efcb3c7d7e,Lisboa,Marvila,820000,T3,149.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-piscina-privativa-marinha-prime-ID15xgr.html#efcb3c7d7e,Cascais,Estoril,1200000,T2,134.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-palacio-ficalho-ID15x9K.html#efcb3c7d7e,Lisboa,Misericórdia,915000,T3,169.0,New,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-patio-colline-ID16pJe.html#efcb3c7d7e,Lisboa,Ourique,450000,T2,82.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t4-aaa-23-ID16PTh.html#efcb3c7d7e,Lisboa,Novas,1150000,T4,144.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-varanda-the-coral-ID16AtF.html#efcb3c7d7e,Cascais,Estoril,550000,T1,71.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-estacionamento-miraflores-park-ID15RYF.html#efcb3c7d7e,Oeiras,Quebrada-Dafundo,295000,T1,70.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t4-com-piscina-alvares-cabral-27-ID16XSq.html#efcb3c7d7e,Lisboa,António,3365000,T4,354.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-varanda-villa-infante-ID16fEo.html#efcb3c7d7e,Lisboa,Estrela,1370000,T3,155.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-patio-principe-real-28-ID16CNJ.html#efcb3c7d7e,Lisboa,António,550000,T1,70.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-varanda-blue-flats-alcantara-ID16KMK.html#efcb3c7d7e,Lisboa,Alcântara,450000,T1,71.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-varanda-the-one-ID16siI.html#efcb3c7d7e,Lisboa,Areeiro,810000,T2,112.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-estacionamento-urban-prata-riverside-v-ID15Sau.html#efcb3c7d7e,Lisboa,Marvila,545000,T2,80.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-estacionamento-the-brick-ID16U98.html#efcb3c7d7e,Lisboa,Beato,395000,T2,81.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-terraco-villa-infante-ID16eTL.html#efcb3c7d7e,Lisboa,Estrela,600000,T1,85.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-piscina-privativa-marinha-prime-ID15vXV.html#efcb3c7d7e,Cascais,Estoril,1700000,T3,177.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-palacio-ficalho-ID15x6i.html#efcb3c7d7e,Lisboa,Misericórdia,925000,T2,138.0,New,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t4-com-estacionamento-villa-infante-ID16fLZ.html#efcb3c7d7e,Lisboa,Estrela,1390000,T4,161.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-varanda-citiflat-avenidas-novas-lisboa-ID16CdX.html#efcb3c7d7e,Lisboa,Novas,707000,T2,87.0,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t1-duplex-palacio-ficalho-ID15vSj.html#efcb3c7d7e,Lisboa,Misericórdia,515000,T1,88.0,New,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t4-com-terraco-miraflores-park-ID15RYW.html#efcb3c7d7e,Oeiras,Quebrada-Dafundo,1360000,T4,285.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t4-venda-lisboa-ID15x4g.html#efcb3c7d7e,Lisboa,Alvalade,1540000,T4,211.0,New,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t3-duplex-com-varanda-solar-de-santana-ID15vOE.html#efcb3c7d7e,Lisboa,Arroios,1330000,T3,204.0,New,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-estacionamento-urban-prata-riverside-v-ID15Sat.html#efcb3c7d7e,Lisboa,Marvila,340000,T1,51.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/t4-duplex-com-jardim-prateato-ID15xee.html#efcb3c7d7e,Lisboa,Marvila,1310000,T4,224.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t3-duplex-com-terraco-escolas-gerais-61-alfa-ID178NB.html#efcb3c7d7e,Lisboa,Maior,1490000,T3,160.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-estacionamento-miraflores-park-ID15RZ0.html#efcb3c7d7e,Oeiras,Quebrada-Dafundo,405000,T2,103.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-duplex-com-jardim-solar-de-santana-ID16BaI.html#efcb3c7d7e,Lisboa,Arroios,930000,T2,175.0,New,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/t0-com-varanda-conde-de-lima-ID15xe4.html#efcb3c7d7e,Lisboa,António,290000,T0,35.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t5-com-varanda-magnolia-ID15vYO.html#efcb3c7d7e,Oeiras,Salvo,900000,T5,228.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-terraco-magnolia-ID15xcH.html#efcb3c7d7e,Oeiras,Salvo,700000,T3,140.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t4-com-varanda-essence-estoril-ID15HXf.html#efcb3c7d7e,Cascais,Estoril,1498000,T4,164.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/t1-com-varanda-conde-de-lima-ID15vVJ.html#efcb3c7d7e,Lisboa,António,390000,T1,55.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/t3-na-quinta-dos-gafanhotos-com-garagem-ID16pG5.html#efcb3c7d7e,Cascais,Parede,345000,T3,123.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-convertido-em-t2-1-em-s-domingos-de-benfica-ID17lml.html#efcb3c7d7e,Lisboa,Benfica,380000,T2,85.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-na-rua-luciano-cordeiro-lisboa-ID16xcD.html#efcb3c7d7e,Lisboa,António,450000,T3,90.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t2-em-linda-a-velha-ID17llR.html#efcb3c7d7e,Oeiras,Quebrada-Dafundo,205000,T2,80.0,Used,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/t2-1-no-coracao-da-lapa-c-arrecadacao-ID16Xwr.html#efcb3c7d7e,Lisboa,Estrela,329000,T2,75.0,,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/t2-cacem-av-bons-amigos-1-piso-c-varanda-novidade-ID16M8a.html#efcb3c7d7e,Sintra,Mira-Sintra,125000,T2,70.0,Used,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/casas-apartamento-t3-para-venda-na-parede-ID17hwX.html#efcb3c7d7e,Cascais,Parede,360000,T3,96.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/t5-em-campinas-com-arrecadacao-e-estacionamento-ID17lD2.html#efcb3c7d7e,Sintra,Belas,350000,T4,181.0,Used,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t1-aurora-avenidas-novas-lisboa-ID179CN.html#efcb3c7d7e,Lisboa,Novas,455000,T1,69.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-estacionamento-aurora-avenidas-novas-ID179D0.html#efcb3c7d7e,Lisboa,Novas,1225000,T3,160.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-de-5-assoalhadas-em-massama-norte-com-box-sala-de-55-m2-c-ID14LWu.html#efcb3c7d7e,Sintra,Belas,359000,T4,172.0,,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-estacionamento-aurora-avenidas-novas-ID179CJ.html#efcb3c7d7e,Lisboa,Novas,607500,T2,100.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-oeiras-ID17lCQ.html#efcb3c7d7e,Oeiras,Caxias,270000,T2,105.0,Used,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t4-com-terraco-aurora-avenidas-novas-lisboa-ID179D1.html#efcb3c7d7e,Lisboa,Novas,1820000,T4,180.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t4-com-varanda-magnolia-ID15x90.html#efcb3c7d7e,Oeiras,Salvo,675000,T4,168.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/quinta-da-graciosa-t3-c-terracos-em-condominio-c-piscina-e-jardins-ID17lI1.html#efcb3c7d7e,Cascais,Estoril,515000,T3,160.0,Used,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t3-1-em-oeiras-ID17gAp.html#efcb3c7d7e,Oeiras,Caxias,785000,T3,135.0,New,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-138m2-na-urb-jardim-da-radial-odivelas-ID17aN7.html#efcb3c7d7e,Odivelas,Caneças,285000,T3,109.95,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamentos-t2-e-t3-novos-nas-colinas-do-cruzeiro-em-od-ID17aNN.html#efcb3c7d7e,Odivelas,sale:,375000,T2,96.0,New,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t4-com-elevador-e-garagem-no-lumiar-lisboa-ID17lxY.html#efcb3c7d7e,Lisboa,Lumiar,649000,T4,167.7,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t4-no-green-park-c-2-varandas-2-lugares-de-garagem-e-arr-ID17lbv.html#efcb3c7d7e,Lisboa,Benfica,860000,T4,210.0,Used,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/agradavel-apartamento-t3-bobadela-ID17l5d.html#efcb3c7d7e,Loures,Bobadela,235000,T3,104.0,Used,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-estacionamento-no-empreendimento-livin-ID15PyS.html#efcb3c7d7e,Lisboa,Novas,510000,T1,44.0,New,
https://www.imovirtual.com/en/anuncio/apartamento-t3-vista-cozinha-lisboa-ID17lBI.html#efcb3c7d7e,Lisboa,Beato,320000,T3,102.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/t1-cacem-a-200metros-estacao-c-arrecadacao-elevador-85m2-ID16bAt.html#efcb3c7d7e,Sintra,Mira-Sintra,120000,T1,73.0,Used,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-3-assoalhadas-em-condominio-privado-com-piscina-no-estor-ID17lIq.html#efcb3c7d7e,Cascais,Estoril,2200000,T2,154.0,Renovated,
https://www.imovirtual.com/en/anuncio/apartamento-t2-em-construcao-inserido-em-condominio-priv-ID129Lj.html#efcb3c7d7e,Cascais,Estoril,995000,T2,125.0,New,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-garagem-em-condominio-fechado-com-pisc-ID16KxM.html#efcb3c7d7e,Cascais,Estoril,630000,T2,92.0,Used,Bathrooms: 2
